Ind;fameff;bloc;PU;rg;n;fam;trait;oid4_09;oid5_10;oid5_11;oid4_12;gel_13;oid2_13;oid_16;oid_17;pgland;date_em;Hfin09;Hfin10;Hfin11;Hfin12;Hdeb14;Hdeb15;Hdeb16;Hdeb17;diam16;an_mort;H09v;H10v;H11v;H12v;H14v;H15v;H16v;H17v;exp;oid_moy;survie2017
A1H18;73;1;1;8;18;73;nat;10;20;35;30;1;50;;;4.3;153;11;20;21;19.5;0;0;0;0;;2014;11;20;21;19.5;;;;;exp;29;0
A1H19;77;1;1;8;19;77;nat;0;16;55;6;0;25;;;6.2;168;11.5;15;17;17;10;0;0;0;;2015;11.5;15;17;17;10;;;;exp;20.4;0
A1H20;72;1;1;8;20;72;nat;;;;;;;;;5.1;;;;;;;;;;;g;;;;;;;;;exp;;
A1H22;70;1;1;8;22;70;nat;10;5;75.5;34;0;50;;;4.1;153;14.5;17;16;17;0;0;0;0;;2014;14.5;17;16;17;;;;;exp;34.9;0
A1H23;11;1;1;8;23;11;nat;20;12.5;36;24;0;25;;;3.8;153;11.5;15;16;15.5;0;0;0;0;;2014;11.5;15;16;15.5;;;;;exp;23.5;0
A1H25;45;1;1;8;25;45;nat;;;;;;;;;3.6;;;;;;;;;;;g;;;;;;;;;exp;;
A1H26;11;1;1;8;26;11;nat;;;;;;;;;2.6;;;;;;;;;;;g;;;;;;;;;exp;;
A1H27;71;1;1;8;27;71;nat;;;;;;;;;4.7;;;;;;;;;;;g;;;;;;;;;exp;;
A1H28;77;1;1;8;28;77;nat;;;;;;;;;2.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1H29;72;1;1;8;29;72;nat;30;26.2;38.5;24;0;25;;;5.6;153;20;30;35;34;0;0;0;0;;2014;20;30;35;34;;;;;exp;28.74;0
